Site,Alpha1,Beta1,GammaE,GammaA,GenderRatio,Alpha2,Beta2
All Solid,0.00432,0,-0.24,2.38,1.38,0.25,0.025
Esophagus,0.000048,0,0.64,2.38,1.38,0.25,0.025
Stomach,0.000663,0,-0.24,2.38,1.38,0.25,0.025
Colon,0.000576,0,-0.24,2.38,0.42,0.25,0.025
Liver,0.000418,0,-0.24,2.38,0.31,0.25,0.025
Lung,0.000647,0,0.01,4.25,1.38,0.25,0.025
Breast,0.00109,0,-0.39,3.5,Inf,0.25,0.025
Ovary,0.000147,0,-0.24,2.38,Inf,0.25,0.025
Bladder,0.0002,0,-0.11,6.39,1.38,0.25,0.025
Thyroid,0.000069,0,-0.24,0.01,3.36,0.25,0.025
Other,0.000755,0,-0.24,2.38,1.38,0.25,0.025